,name,sam_update,rae_update,tie_grad_coeff_sam,seed_everything,enc_var,val_scale_inv,min_val_scale_inv,val_scale_inv4min_val_loss,val_loss,min_val_loss,val_kl,val_recon_loss,val_recon_loss_sam,val_recon_loss_no_sam,val_grad_loss,latent_dim
0,eternal-sweep-20,False,True,True,23567,1e-06,1.3578855332368964e-07,6.98308954087513e-08,1.3578855332368964e-07,0.11225196719169615,0.11225196719169617,0.06784473359584808,0.04366469010710716,0.058383263647556305,0.04366469010710716,0.000742546166293323,256
1,rich-sweep-19,False,True,True,5748,1e-06,1.4606218539118156e-07,6.200498321649115e-08,1.4606218539118156e-07,0.1053600087761879,0.1053600087761879,0.060374919325113297,0.0442066453397274,0.05990717187523842,0.0442066453397274,0.0007784307817928493,256
2,charmed-sweep-17,False,True,True,64,1e-06,1.5556462843038478e-07,6.163724043171216e-08,1.2964727126202284e-07,0.12271448969841003,0.10997865349054337,0.06849303841590881,0.05328856036067009,0.07081374526023865,0.05328856036067009,0.000932932540308684,256
3,bright-sweep-16,False,True,True,42,1e-06,1.7612871204470287e-07,6.1720112375043e-08,1.7612871204470287e-07,0.11222560703754424,0.11222560703754425,0.0661822110414505,0.04494311287999153,0.06633604317903519,0.04494311287999153,0.001100283581763506,256
4,good-sweep-18,False,True,True,982,1e-06,1.5243688655585927e-07,6.466469512633186e-08,1.4312607675536619e-07,0.11293018609285356,0.11215299367904663,0.06808753311634064,0.04400433227419853,0.06067262589931488,0.04400433227419853,0.0008383049862459302,256
5,lemon-sweep-15,False,True,True,23567,0.0001,1.1493812772829892e-06,6.458591306962151e-07,9.071557808728925e-07,0.14861878752708435,0.1222410649061203,0.08075038343667984,0.05966605246067047,0.25844961404800415,0.05966605246067047,0.008202341385185719,256
6,splendid-sweep-14,False,True,True,5748,0.0001,9.142137264848516e-07,5.469362205367167e-07,9.142137264848516e-07,0.10809830576181412,0.10809830576181412,0.05863460153341293,0.04464077949523926,0.1521868109703064,0.04464077949523926,0.004822919610887766,256
7,feasible-sweep-13,False,True,True,982,0.0001,9.107332301852055e-07,5.790807512906805e-07,9.107332301852055e-07,0.1204875037074089,0.1204875037074089,0.07111596316099167,0.044504206627607346,0.13027314841747284,0.044504206627607346,0.004867314361035824,256
8,proud-sweep-12,False,True,True,64,0.0001,1.0922001956540126e-06,5.397072398555447e-07,8.680849438479254e-07,0.19254028797149655,0.13526321947574615,0.10387080162763596,0.07810256630182266,0.2865148186683655,0.07810256630182266,0.01056692749261856,256
9,astral-sweep-10,False,True,True,23567,0.01,2.225830850488577e-06,2.176129087977499e-06,2.225830850488577e-06,0.15867748856544495,0.15867748856544495,0.08228256553411484,0.05618665739893913,0.15851418673992157,0.05618665739893913,0.020208245143294334,256
10,grateful-sweep-8,False,True,True,982,0.01,2.143916850328877e-06,2.0714053559680975e-06,2.143916850328877e-06,0.1959068924188614,0.1959068924188614,0.1215161755681038,0.06029028445482254,0.475519984960556,0.06029028445482254,0.014100435189902782,256
11,fluent-sweep-7,False,True,True,64,0.01,2.0890206103426234e-06,1.8305771134613433e-06,2.0890206103426234e-06,0.15150636434555054,0.15150636434555054,0.07419560104608536,0.056053370237350464,0.35367488861083984,0.056053370237350464,0.02125738188624382,256
12,vibrant-sweep-6,False,True,True,42,0.01,1.9699992507846598e-06,1.8550047157698008e-06,1.9699992507846598e-06,0.14876073598861694,0.14876073598861694,0.08226963132619858,0.05356701090931893,0.22191721200942993,0.05356701090931893,0.012924048118293284,256
13,kind-sweep-5,False,True,True,23567,1.0,4.034699932431384e-06,3.4606547883295908e-06,3.4606547883295908e-06,0.23275409638881683,0.20476029813289642,0.09698916971683502,0.06564546376466751,18.17753791809082,0.06564546376466751,0.0701194554567337,256
14,tough-sweep-4,False,True,True,5748,1.0,5.635529690039703e-06,4.042316484831902e-06,4.081827372887431e-06,0.637218713760376,0.21997582912445068,0.12821881473064425,0.07419134676456451,301.7709045410156,0.07419134676456451,0.4348085820674896,256
15,ancient-sweep-3,False,True,True,982,1.0,5.4146899523151945e-06,3.880421418616589e-06,4.3587068642958845e-06,0.3767769038677216,0.22831206023693085,0.2050811797380447,0.06430813670158386,50.60365676879883,0.06430813670158386,0.10738759487867355,256
16,honest-sweep-1,False,True,True,42,1.0,4.4292708084547306e-06,4.4292708084547306e-06,4.4292708084547306e-06,0.20902326703071591,0.20902326703071594,0.12420046329498292,0.058637022972106934,7.874484539031982,0.058637022972106934,0.026185788214206696,256
