,name,sam_update,rae_update,tie_grad_coeff_sam,seed_everything,enc_var,val_scale_inv,min_val_scale_inv,val_scale_inv4min_val_loss,val_loss,min_val_loss,val_kl,val_recon_loss,val_recon_loss_sam,val_recon_loss_no_sam
0,clear-sweep-18,False,True,True,982,1e-06,0.0008483224082738161,-1.0,-1.0,0.11210338026285172,0.11210338026285172,0.06764063984155655,0.04361440986394882,-1,0.04361440986394882
1,easy-sweep-19,False,True,True,5748,1e-06,0.0008419969817623496,-1.0,-1.0,0.10329314321279526,0.10329314321279526,0.058278173208236694,0.04417296499013901,-1,0.04417296499013901
2,ethereal-sweep-17,False,True,True,64,1e-06,0.0008333860314451158,-1.0,-1.0,0.10807997733354568,0.10807997733354568,0.0622052289545536,0.045041367411613464,-1,0.045041367411613464
3,hardy-sweep-16,False,True,True,42,1e-06,0.000874718651175499,-1.0,-1.0,0.11406873911619186,0.11406873911619186,0.07034151256084442,0.042852502316236496,-1,0.042852502316236496
4,peach-sweep-20,False,True,True,23567,1e-06,0.0008077006204985082,-1.0,-1.0,0.1038607656955719,0.1038607656955719,0.06123698130249977,0.04181608557701111,-1,0.04181608557701111
5,light-sweep-15,False,True,True,23567,0.0001,0.007877550087869167,-1.0,-1.0,0.11081282049417496,0.11081282049417496,0.06137556582689285,0.041559722274541855,-1,0.041559722274541855
6,treasured-sweep-14,False,True,True,5748,0.0001,0.008797184564173222,-1.0,-1.0,0.1054542139172554,0.1054542139172554,0.05392889305949211,0.04272814467549324,-1,0.04272814467549324
7,light-sweep-11,False,True,True,42,0.0001,0.010360822081565855,-1.0,-1.0,0.12713956832885742,0.12713956832885742,0.07200901210308075,0.04476972669363022,-1,0.04476972669363022
8,curious-sweep-12,False,True,True,64,0.0001,0.007102742791175842,-1.0,-1.0,0.11454223841428755,0.11454223841428757,0.06416759639978409,0.04327188432216644,-1,0.04327188432216644
9,ethereal-sweep-13,False,True,True,982,0.0001,0.00782986544072628,-1.0,-1.0,0.12056338787078856,0.12056338787078857,0.06917356699705124,0.04355994984507561,-1,0.04355994984507561
10,comic-sweep-10,False,True,True,23567,0.01,0.09054318815469742,-1.0,-1.0,0.2000073939561844,0.18090228736400604,0.06495506316423416,0.04450913518667221,-1,0.04450913518667221
11,snowy-sweep-9,False,True,True,5748,0.01,0.09630109369754793,-1.0,-1.0,0.19482941925525665,0.1844862997531891,0.05395910143852234,0.044569242745637894,-1,0.044569242745637894
12,fanciful-sweep-6,False,True,True,42,0.01,0.08851664513349533,-1.0,-1.0,0.2021981030702591,0.2021981030702591,0.07066386193037033,0.04301761835813522,-1,0.04301761835813522
13,good-sweep-7,False,True,True,64,0.01,0.08805597573518753,-1.0,-1.0,0.18979288637638092,0.18023057281970978,0.05838191509246826,0.04335496947169304,-1,0.04335496947169304
14,decent-sweep-8,False,True,True,982,0.01,0.08061926066875458,-1.0,-1.0,0.18817466497421265,0.18817466497421265,0.06444937735795975,0.04310603067278862,-1,0.04310603067278862
15,cosmic-sweep-5,False,True,True,23567,1.0,0.5976386070251465,-1.0,-1.0,0.7371526956558228,0.5694122910499573,0.0916466787457466,0.0478675402700901,-1,0.0478675402700901
16,swift-sweep-4,False,True,True,5748,1.0,0.7029489874839783,-1.0,-1.0,0.8390859365463257,0.549089789390564,0.08536076545715332,0.05077614262700081,-1,0.05077614262700081
17,desert-sweep-3,False,True,True,982,1.0,0.8015215396881104,-1.0,-1.0,0.9651270508766174,0.5822657346725464,0.10440371185541152,0.059201762080192566,-1,0.059201762080192566
18,blooming-sweep-2,False,True,True,64,1.0,0.5677332282066345,-1.0,-1.0,0.7143071293830872,0.5580184459686279,0.09655683487653732,0.050017233937978745,-1,0.050017233937978745
